season,feb_snowfall_in
1887-88,7.2
1888-89,3.5
1889-90,1.5
1890-91,1.0
1891-92,7.5
1892-93,8.7
1893-94,18.1
1894-95,13.4
1895-96,0.1
1896-97,6.0
1897-98,T
1898-99,35.2
1899-00,15.9
1900-01,0.2
1901-02,1.5
1902-03,3.0
1903-04,1.8
1904-05,5.5
1905-06,10.1
1906-07,15.4
1907-08,13.6
1908-09,6.4
1909-10,3.4
1910-11,10.2
1911-12,0.5
1912-13,1.6
1913-14,9.3
1914-15,3.0
1915-16,4.3
1916-17,2.5
1917-18,1.5
1918-19,2.8
1919-20,3.2
1920-21,7.1
1921-22,3.0
1922-23,3.9
1923-24,4.9
1924-25,T
1925-26,11.8
1926-27,1.0
1927-28,T
1928-29,7.0
1929-30,1.5
1930-31,T
1931-32,T
1932-33,8.3
1933-34,18.1
1934-35,3.5
1935-36,18.5
1936-37,7.7
1937-38,1.4
1938-39,0.3
1939-40,4.3
1940-41,2.0
1941-42,0.1
1942-43,0.7
1943-44,2.1
1944-45,2.6
1945-46,4.5
1946-47,10.3
1947-48,7.7
1948-49,4.0
1949-50,T
1950-51,3.0
1951-52,T
1952-53,0.2
1953-54,T
1954-55,4.2
1955-56,T
1956-57,1.6
1957-58,17.2
1958-59,T
1959-60,7.2
1960-61,18.0
1961-62,6.5
1962-63,2.0
1963-64,11.7
1964-65,1.9
1965-66,6.9
1966-67,19.0
1967-68,2.4
1968-69,2.2
1969-70,3.6
1970-71,0.3
1971-72,14.4
1972-73,0.1
1973-74,4.2
1974-75,5.8
1975-76,0.9
1976-77,0.0
1977-78,3.8
1978-79,30.6
1979-80,5.1
1980-81,T
1981-82,5.3
1982-83,21.0
1983-84,T
1984-85,T
1985-86,12.9
1986-87,10.3
1987-88,T
1988-89,1.2
1989-90,T
1990-91,0.3
1991-92,2.6
1992-93,4.1
1993-94,3.1
1994-95,5.8
1995-96,15.2
1996-97,4.0
1997-98,T
1998-99,0.2
1999-00,0.9
2000-01,2.8
2001-02,0.5
2002-03,28.7
2003-04,T
2004-05,5.2
2005-06,8.8
2006-07,5.9
2007-08,1.0
2008-09,0.1
2009-10,32.1
2010-11,0.5
2011-12,0.3
2012-13,0.4
2013-14,11.2
2014-15,9.8
2015-16,3.1
2016-17,T
2017-18,0.2
2018-19,3.7
2019-20,T
2020-21,2.8
2021-22,T
2022-23,0.4
2023-24,0.1
2024-25,6.5
2025-26,NA
