DATE,CBBTCUSD
2024-05-24,68567.61
2024-05-25,69304.6
2024-05-26,68474.6
2024-05-27,69363.83
2024-05-28,68350.32
2024-05-29,67573.57
2024-05-30,68356.11
2024-05-31,67506.03
2024-06-01,67719.96
2024-06-02,67721.84
2024-06-03,68794.57
2024-06-04,70596.56
2024-06-05,71164.39
2024-06-06,70770.7
2024-06-07,69283.58
2024-06-08,69305.9
2024-06-09,69654.99
2024-06-10,69490.62
2024-06-11,67316.44
2024-06-12,68270.98
2024-06-13,66764.3
2024-06-14,66022.42
2024-06-15,66154.97
2024-06-16,66613.62
2024-06-17,66517.55
2024-06-18,65126.6
2024-06-19,64903.53
2024-06-20,64842.53
2024-06-21,64136.38
2024-06-22,64258.23
2024-06-23,63214.36
2024-06-24,60236.01
2024-06-25,61820.98
2024-06-26,60794.33
2024-06-27,61622.64
2024-06-28,60322.28
2024-06-29,60890.24
2024-06-30,62678.1
2024-07-01,62870.34
2024-07-02,62056.54
2024-07-03,60187.34
2024-07-04,57171.19
2024-07-05,56624.69
2024-07-06,58219.33
2024-07-07,55913.47
2024-07-08,56684.73
2024-07-09,57995.57
2024-07-10,57653.32
2024-07-11,57384.82
2024-07-12,57910.59
2024-07-13,59251.21
2024-07-14,60798.13
2024-07-15,64772.57
2024-07-16,65045.81
2024-07-17,64157.33
2024-07-18,63999.59
2024-07-19,66771.26
2024-07-20,67216.19
2024-07-21,68239.64
2024-07-22,67585.54
2024-07-23,65923.74
2024-07-24,65430.69
2024-07-25,65816.21
2024-07-26,67929.7
2024-07-27,67805.48
2024-07-28,68274.59
2024-07-29,66827.89
2024-07-30,66200.81
2024-07-31,64607.71
2024-08-01,65342.4
2024-08-02,61466.66
2024-08-03,60631.11
2024-08-04,58181.05
2024-08-05,54025.9
2024-08-06,56096.88
